GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,CATALOGUE,SIZE_CLASS
301,301,24d09m42.8s,15d46m39.4s,31,28,30,0,A,large
302,302,24d09m42.8s,15d47m15.2s,90,69,83,0,A,giants
303,303,24d09m42.9s,15d47m22.8s,52,47,50,-90,A,giants
304,304,24d09m42.9s,15d47m12.6s,38,38,38,0,A,large
306,306,24d09m43.1s,15d47m48.2s,39,24,34,-40,A,large
309,309,24d09m43.4s,15d47m0.0s,25,23,24,-90,A,medium
310,310,24d09m43.5s,15d46m10.0s,34,28,32,0,A,large
311,311,24d09m43.6s,15d47m6.9s,53,48,51,20,A,giants
312,312,24d09m43.6s,15d46m57.0s,22,16,20,-90,A,small
313,313,24d09m43.9s,15d48m31.3s,29,29,29,0,A,medium
314,314,24d09m43.9s,15d45m52.4s,24,24,24,0,A,medium
315,315,24d09m43.9s,15d46m51.5s,18,17,18,0,A,small
317,317,24d09m44.0s,15d47m31.5s,16,16,16,0,A,tiny
318,318,24d09m44.0s,15d46m56.0s,21,21,21,0,A,small
320,320,24d09m44.2s,15d47m1.9s,33,31,33,-90,A,large
321,321,24d09m44.2s,15d47m26.9s,39,39,39,0,A,large
322,322,24d09m44.4s,15d48m0.4s,29,29,29,0,A,medium
323,323,24d09m44.4s,15d47m35.4s,55,50,53,0,A,giants
324,324,24d09m44.6s,15d46m10.7s,18,18,18,0,A,small
325,325,24d09m44.7s,15d47m29.8s,89,80,86,-90,A,giants
330,330,24d09m44.9s,15d46m50.8s,31,31,31,0,A,large
331,331,24d09m45.0s,15d46m58.4s,27,25,27,0,A,medium
332,332,24d09m45.0s,15d46m8.5s,45,45,45,0,A,giants
333,333,24d09m45.0s,15d46m54.8s,30,25,28,0,A,medium
334,334,24d09m45.0s,15d46m19.6s,14,14,14,0,A,tiny
335,335,24d09m45.0s,15d46m9.8s,25,25,25,0,A,medium
336,336,24d09m45.0s,15d46m44.4s,14,14,14,0,A,tiny
337,337,24d09m45.1s,15d46m57.2s,31,20,28,75,A,medium
338,338,24d09m45.1s,15d47m31.8s,55,44,51,20,A,giants
339,339,24d09m45.2s,15d45m52.1s,33,33,33,0,A,large
340,340,24d09m45.2s,15d46m2.8s,70,48,63,-15,A,giants
341,341,24d09m45.2s,15d47m1.1s,40,27,35,-90,A,large
342,342,24d09m45.2s,15d48m1.0s,26,26,26,0,A,medium
343,343,24d09m45.4s,15d46m4.5s,32,32,32,0,A,large
344,344,24d09m45.4s,15d46m59.8s,15,11,14,0,A,tiny
345,345,24d09m45.4s,15d47m21.6s,35,31,34,-90,A,large
346,346,24d09m45.5s,15d47m33.5s,34,34,34,0,A,large
348,348,24d09m45.6s,15d48m39.1s,28,28,28,0,A,medium
