GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
794,794,24d10m13.7s,15d45m54.1s,45,45,45,0,4,64,3.25,A
802,802,24d10m14.1s,15d46m55.7s,44,44,44,0,2,-207,0.6,A
803,803,24d10m14.1s,15d48m40.4s,76,76,76,0,1,63,4.77,A
810,810,24d10m14.7s,15d48m20.6s,50,50,50,0,1,-151,3.83,A
811,811,24d10m14.7s,15d46m27.8s,250,186,229,20,2,106,1.67,A
825,825,24d10m15.6s,15d45m33.0s,43,43,43,0,4,252,4.23,A
827,827,24d10m15.8s,15d46m14.3s,49,49,49,0,4,-101,2.28,A
836,836,24d10m16.2s,15d46m12.5s,43,43,43,0,4,-84,2.36,A
854,854,24d10m17.1s,15d46m56.9s,44,44,44,0,2,-231,0.45,A
856,856,24d10m17.2s,15d46m0.7s,54,54,54,0,4,13,2.91,A
858,858,24d10m17.5s,15d47m30.6s,157,117,143,-84,4,62,1.46,A
860,860,24d10m17.5s,15d46m31.2s,42,41,41,0,2,-119,1.48,A
861,861,24d10m17.5s,15d48m35.7s,45,39,43,-90,1,-25,4.53,A
865,865,24d10m17.7s,15d47m11.9s,50,30,43,0,4,121,0.64,A
882,882,24d10m18.9s,15d45m33.6s,54,54,54,0,4,253,4.19,A
884,884,24d10m19.0s,15d46m17.4s,117,117,117,0,4,-117,2.11,A
885,885,24d10m19.0s,15d46m29.8s,46,32,41,-20,2,-134,1.53,A
886,886,24d10m19.2s,15d46m31.4s,45,42,44,0,2,-133,1.45,A
887,887,24d10m19.3s,15d47m32.4s,66,46,59,70,4,61,1.52,A
895,895,24d10m19.9s,15d48m32.3s,139,95,124,10,1,-38,4.36,A
900,900,24d10m20.2s,15d48m13.8s,53,53,53,0,2,112,3.48,A
903,903,24d10m20.6s,15d46m48.0s,42,42,42,0,2,-194,0.67,A
