label,threshold,dice,iou,precision,recall,f1,gt_foreground_ratio,pred_foreground_ratio,area_ratio_pred_over_gt
intensity_dark_lt,0.47500000000000014,0.008310615,0.004173993,0.017089,0.005492647,0.008313282,0.15308926,0.04920469,0.32141173
intensity_dark_lt,0.4500000000000001,0.008220462,0.0041285423,0.016912898,0.005432132,0.008223131,0.15308926,0.04916927,0.32118037
intensity_dark_lt,0.40000000000000013,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.3000000000000001,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.22500000000000006,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.32500000000000007,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.07500000000000001,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.20000000000000007,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.12500000000000003,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.3500000000000001,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.25000000000000006,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.17500000000000004,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.10000000000000002,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.3750000000000001,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.42500000000000016,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.15000000000000002,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.05,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
intensity_dark_lt,0.2750000000000001,0.008215118,0.004125848,0.01690219,0.0054285727,0.008217787,0.15308926,0.049168177,0.32117325
