ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
211,24d09m35.8s,15d47m8.1s,49,26,42,0,2,49,2.33
212,24d09m35.8s,15d47m20.5s,56,41,51,10,2,42,2.48
213,24d09m35.8s,15d46m3.3s,36,32,34,0,4,38,3.59
214,24d09m36.0s,15d46m6.3s,19,18,18,-90,4,13,3.48
215,24d09m36.1s,15d46m53.3s,86,69,81,-20,2,79,2.32
216,24d09m36.1s,15d47m54.5s,23,23,23,0,2,142,3.42
217,24d09m36.2s,15d48m36.3s,21,21,21,0,3,-39,5.08
218,24d09m36.2s,15d47m15.9s,21,21,21,0,2,39,2.39
219,24d09m36.3s,15d47m32.3s,28,28,28,0,2,53,2.72
220,24d09m36.5s,15d46m50.4s,17,16,17,-90,2,88,2.32
221,24d09m36.5s,15d46m58.8s,31,19,27,0,2,60,2.27
222,24d09m36.6s,15d46m46.0s,71,47,63,0,2,105,2.38
223,24d09m36.7s,15d48m33.7s,38,38,38,0,3,-59,4.96
224,24d09m36.8s,15d46m39.8s,11,11,11,0,2,129,2.47
225,24d09m36.9s,15d46m57.0s,19,19,19,0,2,62,2.26
226,24d09m37.1s,15d47m1.3s,37,37,37,0,2,51,2.24
227,24d09m37.1s,15d47m21.4s,22,22,22,0,2,31,2.44
228,24d09m37.1s,15d46m7.9s,196,143,178,20,4,-3,3.39
229,24d09m37.1s,15d47m14.3s,39,39,39,0,2,31,2.33
230,24d09m37.2s,15d46m14.9s,57,57,57,0,4,-57,3.14
231,24d09m37.2s,15d46m40.4s,37,37,37,0,2,123,2.44
232,24d09m37.3s,15d46m56.2s,44,28,39,-70,2,62,2.25
233,24d09m37.4s,15d46m23.8s,45,45,45,0,4,-134,2.85
234,24d09m37.4s,15d47m26.5s,33,32,32,0,2,30,2.53
235,24d09m37.5s,15d47m30.5s,50,38,46,0,2,39,2.63
236,24d09m37.6s,15d46m59.8s,35,25,31,-20,2,48,2.22
237,24d09m37.6s,15d46m54.5s,28,27,27,-90,2,63,2.24
238,24d09m37.8s,15d46m45.0s,25,25,25,0,2,100,2.34
239,24d09m37.9s,15d46m39.7s,15,15,15,0,2,122,2.43
240,24d09m38.0s,15d46m40.3s,10,10,10,0,2,118,2.41
241,24d09m38.2s,15d47m18.8s,36,36,36,0,2,21,2.35
242,24d09m38.2s,15d47m27.8s,32,20,28,0,2,28,2.53
243,24d09m38.5s,15d45m57.6s,28,28,28,0,4,79,3.73
244,24d09m38.6s,15d45m59.2s,22,22,22,0,4,66,3.67
245,24d09m38.6s,15d46m10.8s,19,18,19,-90,4,-30,3.24
246,24d09m38.6s,15d46m53.8s,26,25,26,-90,2,58,2.20
247,24d09m38.7s,15d47m26.9s,24,24,24,0,2,23,2.49
248,24d09m38.7s,15d46m55.6s,41,40,41,0,2,51,2.18
249,24d09m39.0s,15d47m28.8s,34,34,34,0,2,21,2.52
250,24d09m39.2s,15d46m57.0s,73,55,67,-50,2,43,2.15
251,24d09m39.3s,15d47m49.5s,48,38,44,50,2,93,3.15
252,24d09m39.3s,15d46m45.4s,45,31,41,-20,2,86,2.27
253,24d09m39.3s,15d46m9.6s,22,20,21,-90,4,-24,3.26
254,24d09m39.3s,15d47m48.4s,17,17,17,0,2,88,3.11
255,24d09m39.5s,15d46m51.8s,204,115,174,-10,2,59,2.18
